comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,like,coin,collect,share,rank
6602,21,2863828,http://i1.hdslb.com/bfs/archive/3529b3094f54c4ed78b7f2f4284b884a38bfb851.jpg,,-,1,带大家看下印度的医院,0,刘庸干净又卫生,533459953,1647097913,04:59,14742,894706971,BV16P4y1M7cC,False,0,0,0,0,21.0万,1.4万,6389,4461,全站排行榜最高第37名
2276,21,1401211,http://i0.hdslb.com/bfs/archive/37b09a24bcccb31352fb7d0813a8a1dd463b35d1.jpg,,-,1,乔治理发精简版。,0,刘庸干净又卫生,533459953,1635304134,02:54,4573,208863656,BV1hh4118793,False,0,0,0,0,7.2万,4616,3125,2770,
7091,212,8120769,http://i0.hdslb.com/bfs/archive/3dd4c45abae1f03ab76726f97eedfe33054313ef.jpg,,-,1,芦荟老小子，老朋友相见格外开心。,0,刘庸干净又卫生,533459953,1633671002,01:48,11154,590961198,BV1cq4y1d7XX,False,0,0,0,0,27.2万,2.9万,1.4万,2.8万,全站排行榜最高第25名
2170,212,3069280,http://i1.hdslb.com/bfs/archive/e975b82c3f4390014f351f0f5d25bd7935a303b6.jpg,,-,1,街头柠檬汁，必须要监督他制作。,0,刘庸干净又卫生,533459953,1630230485,01:15,5235,890143135,BV19P4y1p7SP,False,0,0,0,0,9.7万,4802,3332,3846,
1343,212,1440103,http://i0.hdslb.com/bfs/archive/c924c1e1052569ac2d3a5795b36d2672a9252d1a.jpg,,-,1,踩雷了，里面有一根不知道什么毛，还好不是弯的。,0,刘庸干净又卫生,533459953,1625304891,00:44,980,803983283,BV1Ry4y1M7nb,False,0,0,0,0,3.7万,1312,1171,2285,
788,212,1157373,http://i2.hdslb.com/bfs/archive/129b763a567d101f80dd5717b47eba271d0461bc.jpg,,-,1,发现了一个街头魔术师。另类喝牛奶，你看明白怎么回事了吗？,0,刘庸干净又卫生,533459953,1623662247,01:04,1185,931156261,BV1FM4y1u78q,False,0,0,0,0,2.9万,934,1716,4170,
1045,212,2683775,http://i0.hdslb.com/bfs/archive/b0e8b1f84acf4837be1cd5e7195752f582810db3.jpg,,-,1,买回家去拌饭吃,0,刘庸干净又卫生,533459953,1618506658,01:04,1733,417571794,BV18V411H7ya,False,0,0,0,0,4.7万,1726,2128,5062,
4908,212,4454443,http://i1.hdslb.com/bfs/archive/db45daf3b3579aeeebd0c55105859ab11cba1445.jpg,,-,1,上班起床晚了，印度路边摊吃个早餐,0,刘庸干净又卫生,533459953,1646883005,02:11,11424,594662909,BV1pq4y1i7Sp,False,0,0,0,0,30.8万,1.2万,9702,5467,全站排行榜最高第23名
2922,212,3181149,http://i2.hdslb.com/bfs/archive/6c99ba78e74cce4893be12d897eecba889381a96.jpg,,-,1,街头橘子汁，纯天然，没有添加任何调料，非常的健康！,0,刘庸干净又卫生,533459953,1635232083,00:47,3049,548849407,BV1Qq4y1G7s1,False,0,0,0,0,16.0万,9105,4391,3733,全站排行榜最高第49名
7037,212,3415756,http://i2.hdslb.com/bfs/archive/4976eb53e00ff375881c087f62aeeb7b72dc7732.jpg,,-,1,品街头小吃，听味道详解。干净又卫生，多少带点臭！,0,刘庸干净又卫生,533459953,1633577812,02:38,10606,763375877,BV1Qr4y117Fp,False,0,0,0,0,17.0万,1.6万,6042,1.3万,全站排行榜最高第34名
2137,212,2951350,http://i2.hdslb.com/bfs/archive/f4b664993baf0902ee1b4dbaf4180c6e312b2026.jpg,,-,1,这是什么小吃？味道还挺好。,0,刘庸干净又卫生,533459953,1630145160,01:41,3967,675218843,BV1JU4y177Cs,False,0,0,0,0,8.4万,3483,2349,3093,
2462,212,2856755,http://i1.hdslb.com/bfs/archive/cb3dbfc300ad507e9f97b4ce0631f994f94d97c3.jpg,,-,1,印度街头刨冰老头，多少带点臭！,0,刘庸干净又卫生,533459953,1625228801,00:58,2462,588933980,BV1MB4y1T7wy,False,0,0,0,0,8.9万,1.2万,4295,1.2万,
1407,212,1884337,http://i1.hdslb.com/bfs/archive/78b3f1a6b76cd0f08cff5e86c14285cfd9204369.jpg,,-,1,街头烤玉米，味道很好，快来看看,0,刘庸干净又卫生,533459953,1623593589,01:12,1928,631052789,BV1vb4y1d7Ar,False,0,0,0,0,5.0万,1275,1762,2121,
172,21,333669,http://i0.hdslb.com/bfs/archive/0d7053636234f037c41f858330095f2d02a8e1d0.jpg,,-,1,一组日常相片,0,刘庸干净又卫生,533459953,1618414586,00:09,51,802584081,BV1oy4y1x7p4,False,0,0,0,0,8630,284,327,31,
4400,75,2326426,http://i0.hdslb.com/bfs/archive/5d8b494f7a8de39b6a0835ca49378711f4cfc3c5.jpg,,-,1,下班了，喂一喂印度神牛。,0,刘庸干净又卫生,533459953,1646560491,01:39,5276,679516567,BV1RS4y1g7PF,False,0,0,0,0,16.4万,7347,3691,2254,全站排行榜最高第45名
2278,21,1960382,http://i1.hdslb.com/bfs/archive/e25c351145479f2b3f1338accb615a65c95ce90b.jpg,,-,1,一位卖女士内衣文质彬彬的大叔，万花丛中过，片叶不沾身。,0,刘庸干净又卫生,533459953,1635142022,00:39,1450,763764877,BV1ur4y117kM,False,0,0,0,0,8.9万,9931,2859,1893,
4578,76,1648079,http://i2.hdslb.com/bfs/archive/efe69ad3776e0896ceb190fb086e9d57aee2822e.jpg,,-,1,国庆特别节目(三)家里做饭详细解析。,0,刘庸干净又卫生,533459953,1633495763,03:59,7073,675886426,BV1oU4y1c75e,False,0,0,0,0,9.7万,1.1万,3526,3508,
1439,212,1541779,http://i1.hdslb.com/bfs/archive/b617995848425dd3e6a57f7cac87e0c312cb535e.jpg,,-,1,一个人呆的太久了，看谁都眉清目秀的。,0,刘庸干净又卫生,533459953,1630061257,01:01,1667,547636024,BV1zq4y1K74W,False,0,0,0,0,4.6万,1282,985,892,
779,21,745355,http://i2.hdslb.com/bfs/archive/60be34c7aca473fd1dafe81b92efe410dff26720.jpg,,-,1,印度菜市场搬运工人卸货。保证你没见过，非常的整齐。,0,刘庸干净又卫生,533459953,1625132777,00:51,742,803987135,BV1dy4y1M7bq,False,0,0,0,0,2.6万,1201,1312,2142,
1842,212,4849877,http://i2.hdslb.com/bfs/archive/c08e11adb6092ef19af905cb6ecfab0e8c624b32.jpg,,-,1,这个鸡蛋灌饼真是一言难尽,0,刘庸干净又卫生,533459953,1623479483,00:39,2654,503566681,BV16g411G7eG,False,0,0,0,0,6.9万,2971,3295,1.1万,
